Key	Mode	Source	Id	Note
tap:deskflow/tap	macos-only			Homebrew tap; Windows installs Deskflow directly through WinGet.
brew:shellcheck	native	winget	koalaman.shellcheck	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:actionlint	native	winget	rhysd.actionlint	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:age	native	winget	FiloSottile.age	Cross-platform tar.age backup and recovery tool.
brew:agent-browser	runtime	volta	agent-browser	Explicit runtime-manager package; not a Homebrew dependency on Windows.
brew:bat	native	winget	sharkdp.bat	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:bun	native	winget	Oven-sh.Bun	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:caddy	native	winget	CaddyServer.Caddy	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:ccache	native	winget	Ccache.Ccache	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:cmake	native	winget	Kitware.CMake	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:colima	native	winget	Docker.DockerDesktop	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:coreutils	manual			Git for Windows supplies Unix tools; use PowerShell equivalents for native scripts.
brew:direnv	native	winget	direnv.direnv	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:docker	native	winget	Docker.DockerDesktop	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:docker-compose	native	winget	Docker.DockerDesktop	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:duti	macos-only			Apple/Homebrew-specific app or shell integration; not applied on Windows.
brew:exiftool	native	winget	OliverBetz.ExifTool	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:eza	native	winget	eza-community.eza	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:fd	native	winget	sharkdp.fd	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:ffmpeg	native	winget	Gyan.FFmpeg	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:findutils	manual			Git Bash supplies find; do not put its usr/bin before Windows tools globally.
brew:fzf	native	winget	junegunn.fzf	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:gh	native	winget	GitHub.cli	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:ghostscript	manual			Official Artifex Windows installer; verify release digest.
brew:git	native	winget	Git.Git	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:git-delta	native	winget	dandavison.delta	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:git-extras	manual			Optional Git Bash tools; install upstream manually after review.
brew:git-filter-repo	runtime	uv	git-filter-repo	Explicit runtime-manager package; not a Homebrew dependency on Windows.
brew:git-flow-next	native	winget	GitTower.GitFlowNext	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:git-lfs	native	winget	GitHub.GitLFS	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:gitleaks	native	winget	Gitleaks.Gitleaks	Native Windows counterpart; identity verified against installed WinGet inventory.
brew:httpd	manual			Service setup is explicit; Caddy is the declared native alternative.
brew:imagemagick	native	winget	ImageMagick.ImageMagick	Native Windows counterpart; identity verified against installed WinGet inventory.
